size(b)    t_malloc(ns)    t_free(ns)
1    0.300000    0.020000
2    0.270000    0.010000
4    0.260000    0.010000
8    0.250000    0.010000
16    0.250000    0.010000
32    0.340000    0.020000
64    0.520000    0.020000
128    0.860000    0.020000
256    1.570000    0.030000
512    2.950000    0.050000
1024    5.750000    0.080000
2048    11.340000    0.160000
4096    22.440000    0.310000
8192    44.840000    0.590000
16384    89.960000    1.140000
32768    180.640000    2.270000
65536    363.870000    4.600000
131072    716.380000    8.980000
262144    1400.140000    17.160000
524288    2742.130000    34.320000
1048576    5574.890000    69.530000
2097152    11372.790000    137.280000
4194304    22101.110000    272.890000
8388608    44913.470000    554.270000
