size(b)    t_malloc avg (ns)    t_free avg (ns)
1    0.200000    0.040000    
2    0.230000    0.040000    
4    0.200000    0.020000    
8    0.170000    0.030000    
16    0.160000    0.030000    
32    0.170000    0.030000    
64    0.120000    0.080000    
128    0.120000    0.080000    
256    0.100000    0.090000    
512    0.120000    0.100000    
1024    0.140000    0.120000    
2048    0.220000    0.120000    
4096    0.330000    0.110000    
8192    0.350000    0.130000    
16384    0.350000    0.120000    
32768    0.350000    0.120000    
65536    0.340000    0.130000    
131072    0.360000    0.130000    
262144    0.350000    0.120000    
524288    0.350000    0.120000    
1048576    0.350000    0.130000    
2097152    0.360000    0.130000    
4194304    0.370000    0.130000    
8388608    0.370000    0.140000    
size(b)    t_malloc avg (ns)    t_free avg (ns)
1    0.260000    0.060000    
2    0.430000    0.060000    
4    0.590000    0.050000    
8    0.300000    0.060000    
16    0.450000    0.050000    
32    0.320000    0.050000    
64    0.240000    0.130000    
128    0.400000    0.130000    
256    0.230000    0.140000    
512    0.320000    0.170000    
1024    0.540000    0.170000    
2048    0.690000    0.190000    
4096    1.100000    0.200000    
8192    1.920000    0.250000    
16384    1.940000    0.230000    
32768    1.900000    0.230000    
65536    1.880000    0.230000    
131072    1.890000    0.240000    
262144    1.910000    0.250000    
524288    1.950000    0.260000    
1048576    1.920000    0.260000    
2097152    1.860000    0.260000    
4194304    1.900000    0.270000    
8388608    1.900000    0.270000    
size(b)    t_malloc avg (ns)    t_free avg (ns)
1    0.210000    0.040000    
2    0.250000    0.040000    
4    0.240000    0.040000    
8    0.240000    0.040000    
16    0.200000    0.030000    
32    0.230000    0.030000    
64    0.180000    0.100000    
128    0.190000    0.110000    
256    0.170000    0.110000    
512    0.230000    0.130000    
1024    0.310000    0.150000    
2048    0.540000    0.160000    
4096    0.890000    0.160000    
8192    0.940000    0.160000    
16384    0.950000    0.170000    
32768    0.970000    0.170000    
65536    0.930000    0.160000    
131072    1.230000    0.200000    
262144    1.290000    0.200000    
524288    1.270000    0.170000    
1048576    0.930000    0.170000    
2097152    0.960000    0.170000    
4194304    1.000000    0.170000    
8388608    0.970000    0.170000    
size(b)    t_malloc avg (ns)    t_free avg (ns)
1    0.680000    0.120000    
2    0.710000    0.110000    
4    0.670000    0.100000    
8    0.670000    0.110000    
16    0.570000    0.110000    
32    0.660000    0.110000    
64    0.510000    0.290000    
128    0.550000    0.300000    
256    0.490000    0.330000    
512    0.640000    0.380000    
1024    0.890000    0.430000    
2048    1.530000    0.450000    
4096    2.470000    0.460000    
8192    2.440000    0.360000    
16384    2.060000    0.360000    
32768    2.060000    0.360000    
65536    1.990000    0.360000    
131072    2.050000    0.360000    
262144    2.090000    0.400000    
524288    2.560000    0.370000    
1048576    2.020000    0.370000    
2097152    2.120000    0.590000    
